Name;DataType;LogicalAddress;Comment
A0201_Motore_Bancalata_1_Controllo_Connettore;Bool;%I131.3;970X1A
A0201_Banco_1_Phc_Ingresso;Bool;%I131.4;973SQ1
A0201_Banco_1_Phc_Uscita;Bool;%I131.5;973SQ2
A0201_AUX_Spalla_1.1_Ls_Minimo;Bool;%I131.6;982SQ1
A0201_AUX_Spalla_1.1_Ls_Massimo;Bool;%I131.7;982SQ2
A0201_AUX_Spalla_1.2_Ls_Minimo;Bool;%I132.0;992SQ1
A0201_AUX_Spalla_1.2_Ls_Massimo;Bool;%I132.1;992SQ2
A0201_AUX_Spalla_1.3_Ls_Minimo;Bool;%I132.2;1002SQ1
A0201_AUX_Spalla_1.3_Ls_Massimo;Bool;%I132.3;1002SQ2
A0201_AUX_Spalla_1.4_Ls_Minimo;Bool;%I132.4;1006SQ1
A0201_AUX_Spalla_1.4_Ls_Massimo;Bool;%I132.5;1006SQ2
A0201_Motore_Bancalata_2_Controllo_Connettore;Bool;%I132.6;1020X1A
A0201_Banco_2_Phc_Ingresso;Bool;%I132.7;1023SQ1
A0201_Banco_2_Phc_Uscita;Bool;%I133.0;1023SQ2
A0201_AUX_Spalla_2.1_Ls_Minimo;Bool;%I133.1;1032SQ1
A0201_AUX_Spalla_2.1_Ls_Massimo;Bool;%I133.2;1032SQ2
A0201_AUX_Spalla_2.2_Ls_Minimo;Bool;%I133.3;1042SQ1
A0201_AUX_Spalla_2.2_Ls_Massimo;Bool;%I133.4;1042SQ2
A0201_Motore_Bancalata_3_Lato_1_Controllo_Connettore;Bool;%I133.5;1060X1A
A0201_Banco_3_Lato_1_Phc_Ingresso;Bool;%I133.6;1063SQ1
A0201_Banco_3_Lato_1_Phc_Uscita;Bool;%I133.7;1063SQ2
A0201_AUX_Spalla_3.1_Ls_Minimo_Apertura;Bool;%I134.0;1072SQ1
A0201_AUX_Spalla_3.1_Ls_Massimo_Apertura;Bool;%I134.1;1072SQ2
