Name;DataType;LogicalAddress;Comment
BTRK_A0301_ITEMS;Int;20;Pezzi su stazione capovolgimento
BTRK_A0302_ENTRY_ITEMS;Int;7;Pezzi su stazione di finalizazione pezzi (CHIUSURA BORDI + ALLINEAMENTO)
BTRK_A03_EXIT_TOCHECK_ITEMS;Int;10;Pezzi su stazione di uscita pezzi da controllare (B_TO_CHECK)
BTRK_LAYER_ITEMS;Int;12;Pezzi su stazione di preparazione pacco
BTRK_A0302_EXIT_ITEMS;Int;18;Pezzi su stazione di finalizazione pezzi (CHIUSURA BORDI + ALLINEAMENTO)
BTRK_A0303_ITEMS;Int;2;Pezzi su spintore preparazione strato
