Name;DataType;LogicalAddress;Comment
DecoilersHRot_Pivot_Ls_Rest;Bool;%I125.3;701SQ1
DecoilersHRot_Pivot_Ls_Work;Bool;%I125.4;701SQ2
DecoilersHRot_Pivot_V_Rest;Bool;%Q100.4;701YV1
DecoilersHRot_Pivot_V_Work;Bool;%Q100.5;701YV2
DecoilersHRot_Rotation_V_Dec1InLine;Bool;%Q100.2;700YV1
DecoilersHRot_Rotation_V_Dec2InLine;Bool;%Q100.3;700YV2
DecoilersHRot_Pivot_Ls_ExtraMin;Bool;%I125.1;692SQ1
DecoilersHRot_Pivot_Ls_ExtraMax;Bool;%I125.2;692SQ2
