Name;DataType;LogicalAddress;Comment
D07_Lp_EntryReq_LB123;Bool;%Q107.6;194SH1
D07_Lp_SafetyReset_LB123;Bool;%Q107.7;194SH2
D07_Pb_EntryReq_LB123;Bool;%I104.4;194SH1
D07_Pb_SafetyReset_LB123;Bool;%I104.5;194SH2
D07_Unlock;Bool;%Q107.5;19402 Comando_Elettroserratura
D07_LockEnable;Bool;%I104.2;19401 Cancello chiuso
D07_Cancello_Bloccato;Bool;%I104.3;19403
D07_Ls;Bool;%I1027.1;103DI1 - 194A1
