Name;DataType;LogicalAddress;Comment
LOG_KEY_SEPARATOR;String;',';
LOG_PAR_CHANGE_KEY_PAR_NUM;String;'[numero parametro]=';
LOG_PAR_CHANGE_KEY_PAR_DESC;String;'[descrizione parametro]=';
LOG_PAR_CHANGE_KEY_UM;String;'[unita di misura]=';
LOG_PAR_CHANGE_KEY_VALUE_PRV;String;'[valore precedente]=';
LOG_PAR_CHANGE_KEY_VALUE_ACT;String;'[valore attuale]=';
LOG_PAR_CHANGE_KEY_PAR_GROUP;String;'[Gruppo parametri]=';
