Name;DataType;LogicalAddress;Comment
FS_WM_SSTILL_LOCAL;USInt;0;
FS_WM_SSTILL_HOME;USInt;1;
FS_WM_SSTILL_FWD;USInt;2;
FS_WM_FLYING_HOME;USInt;3;
FS_WM_FLYING_FWD;USInt;4;
FS_WM_FLYING_AUTO;USInt;5;
