Name;DataType;LogicalAddress;Comment
D11_Lp_EntryReq_LB221;Bool;%Q108.7;232SH1
D11_Lp_SafetyReset_LB221;Bool;%Q109.0;232SH2
D11_Pb_EntryReq_LB221;Bool;%I107.4;232SH1
D11_Pb_SafetyReset_LB221;Bool;%I107.5;232SH2
D11_Comando_Elettroserratura;Bool;%Q108.6;23202
D11_Cancello_Chiuso;Bool;%I107.2;23201
D11_Cancello_Bloccato;Bool;%I107.3;23203
D11_Ls_Os1;Bool;%I1072.3;105DI3 - 232A1
D11_Ls_Os2;Bool;%I1072.7;105DI7 - 232A1
