Name;DataType;LogicalAddress;Comment
A03_TowerHorn_SL301;Bool;%Q302.1;372HA1
A03_TowerLampYellow_SL301;Bool;%Q301.7;372HL1
A03_TowerLampWhite_SL301;Bool;%Q302.0;372HL2
A03_Segnalazione_Scarico_Pezzi_Accoppiati_Blu_SL302;Bool;%Q302.2;373HL1
A03_Segnalazione_Scarico_Pacco__Blu_SL303;Bool;%Q351.7;374HL1
A03_Segnalazione_Stato_Barriera_Interna_Bianco_SL304;Bool;%Q352.0;374HL2
MB3_Pb_Reset_Anomalie;Bool;%I113.0;310SH1
MB3_Pb_Manuale_Area03;Bool;%I113.1;310SA1
MB3_Pb_Automatico_Area03;Bool;%I113.2;310SA1
MB3_Pb_Start_Ciclo_Area03;Bool;%I113.3;310SH2
MB3_Pb_Stop_Ciclo_Area03;Bool;%I113.4;310SB1
MB3_Pb_Start_Ciclo_Area02;Bool;%I113.5;310SH3
MB3_Pb_Stop_Ciclo_Area02;Bool;%I113.6;310SB2
MB3_Pb_Start_Ciclo_Area01;Bool;%I113.7;311SH1
MB3_Pb_Stop_Ciclo_Area01;Bool;%I114.0;311SB1
MB3_Pb_Avanti_Stazione_3_Area03;Bool;%I114.1;311SH2
MB3_Pb_Avanti_Stazione_4_Area03;Bool;%I114.2;311SH3
MB3_Pb_Avanti_Stazione_2_Area03;Bool;%I114.3;311SH4
MB3_Pb_Avanti_Stazione_1_Area03;Bool;%I114.4;311SH5
MB3_Pb_Comando_Manuale_Jog_Plus_A03;Bool;%I114.5;311SA1
MB3_Pb_Comando_Manuale_Jog_Minus_A03;Bool;%I114.6;311SA1
MB3_Pb_Avanti_Pezzo_Area02;Bool;%I114.7;312SB1
MB3_Lp_Reset_Anomalie;Bool;%Q111.6;310SH1
MB3_Lp_Abilitazione_Automatico_Area03;Bool;%Q111.7;310HL1
MB3_Lp_Start_Ciclo_Area03;Bool;%Q112.0;310SH2
MB3_Lp_Start_Ciclo_Area02;Bool;%Q112.1;310SH3
MB3_Lp_Start_Ciclo_Area01;Bool;%Q112.2;311SH1
MB3_Lp_Avanti_Stazione_3_Area03;Bool;%Q112.3;311SH2
MB3_Lp_Avanti_Stazione_4_Area03;Bool;%Q112.4;311SH3
MB3_Lp_Avanti_Stazione_2_Area03;Bool;%Q112.5;311SH4
MB3_Lp_Avanti_Stazione_1_Area03;Bool;%Q112.6;311SH5
MB3_Lp_Comando_Manuale_Jog_Plus;Bool;%Q112.7;311SA1
MB3_Lp_LIBERO;Bool;%Q122.5;312 - LIBERO
MB3_Pb_Comando_Manuale_Jog_Plus_A04;Bool;%I143.0;311SA1
MB3_Pb_Comando_Manuale_Jog_Minus_A04;Bool;%I143.1;311SA1
MB3_Pb_Start_Ciclo_Area04;Bool;%I142.5;312SH1
MB3_Pb_Stop_Ciclo_Area04;Bool;%I142.6;312SB2
MB3_Pb_Manuale_Area04;Bool;%I115.0;312SA1
MB3_Pb_Automatico_Area04;Bool;%I115.1;312SA1
MB3_Lp_Abilitazione_Automatico_Area04;Bool;%Q113.0;312HL1
MB3_Lp_Comando_Manuale_Jog_Plus_A04;Bool;%Q122.6;312SA2
A04_TowerHorn_SL401;Bool;%Q303.6;372HA1
A04_TowerLampYellow_SL401;Bool;%Q303.4;372HL1
A04_TowerLampWhite_SL401;Bool;%Q303.5;372HL2
