Name;DataType;LogicalAddress;Comment
A0303_Pistoni_Posizione_1_Paletti_Sostegno_Coda_Ls_Work;Bool;%I308.2;2380SQ2
A0303_Pistoni_Posizione_2_Paletti_Sostegno_Coda_Ls_Rest;Bool;%I308.3;2380SQ3 (Libero)
A0303_Pistoni_Posizione_2_Paletti_Sostegno_Coda_Ls_Work;Bool;%I308.4;2380SQ4
A0303_Pistoni_Posizione_1_Paletti_Sostegno_Coda_V_Rest;Bool;%Q313.0;2380YV1
A0303_Pistoni_Posizione_1_Paletti_Sostegno_Coda_V_Work;Bool;%Q313.1;2380YV2
A0303_Pistoni_Posizione_2_Paletti_Sostegno_Coda_V_Rest;Bool;%Q313.2;2380YV3
A0303_Pistoni_Posizione_2_Paletti_Sostegno_Coda_V_Work;Bool;%Q313.3;2380YV4
A0303_Sollevamento_Pacco_Ax_Testa_Ls_Minimo;Bool;%I358.5;2392SQ1
A0303_Sollevamento_Pacco_Ax_Testa_Ls_Massimo;Bool;%I358.6;2392SQ2
A0303_Sollevamento_Pacco_Ax_Coda_Ls_Minimo;Bool;%I308.5;2402SQ1
A0303_Sollevamento_Pacco_Ax_Coda_Ls_Massimo;Bool;%I308.6;2402SQ2
A0303_AI_Manipolatore_Testa_Strato_Phc_Depositato;Int;%IW942;552A1 - 2321BF1
A0303_AI_Manipolatore_Coda_Strato_Phc_Depositato;Int;%IW938;533A1 - 2341BF1
