Name;DataType;LogicalAddress;Comment
LB212_Carriage_Lp_BWD;Bool;%Q121.2;339SH2
LB212_Carriage_Lp_FWD;Bool;%Q121.1;339SH1
LB212_Carriage_Pb_BWD;Bool;%I124.6;339SH2
LB212_Carriage_Pb_FWD;Bool;%I124.5;339SH1
LB212_DieClamp_Lp_Rest;Bool;%Q120.2;338HL2
LB212_DieClamp_Lp_Work;Bool;%Q120.1;338HL1
LB212_DieClamp_Pb_Rest;Bool;%I123.6;338SH2
LB212_DieClamp_Pb_Work;Bool;%I123.5;338SH1
LB212_DieSetOP_Lp_Req;Bool;%Q120.0;338HL1
LB212_DiesOP_T1_Lp_Rest;Bool;%Q120.3;338HL3
LB212_DiesOP_T1_Lp_Work;Bool;%Q120.4;338HL4
LB212_DiesOP_T1_Pb_Rest;Bool;%I123.7;338SH3
LB212_DiesOP_T1_Pb_Work;Bool;%I124.0;338SH4
LB212_DiesOP_T2_Lp_Rest;Bool;%Q120.5;388 - LIBERO
LB212_DiesOP_T2_Lp_Work;Bool;%Q120.6;388 - LIBERO
LB212_DiesOP_T3_Lp_Rest;Bool;%Q120.7;388 - LIBERO
LB212_DiesOP_T3_Lp_Work;Bool;%Q121.0;388 - LIBERO
LB212_RollFormer_Lp_BWD;Bool;%Q121.4;339SH3
LB212_RollFormer_Lp_FWD;Bool;%Q121.3;339SH4
LB212_RollFormer_Pb_BWD;Bool;%I125.0;339SH4
LB212_RollFormer_Pb_FWD;Bool;%I124.7;339SH3
LB212_Button_L;Bool;%I1079.3;106DI3 - 244SB1
LB212_Button_R;Bool;%I1079.7;106DI7 - 244SB2
LB212_DiesOP_T3_Pb_Rest;Bool;%I124.3;388 - LIBERO
LB212_DiesOP_T3_Pb_Work;Bool;%I124.4;388 - LIBERO
LB212_DiesOP_T2_Pb_Rest;Bool;%I124.1;388 - LIBERO
LB212_DiesOP_T2_Pb_Work;Bool;%I124.2;388 - LIBERO
